"","title","year","cites"
"1","Toward an understanding of flow in video games",2008,379
"2","A review of the use of psychophysiological methods in game research",2011,210
"3","The psychophysiology primer: a guide to methods and a broad review with a focus on human–computer interaction",2016,32
"4","Learning principles and interaction design for ‘Green My Place’: A massively multiplayer serious game",2011,30
"5","User-system-experience model for user centered design in computer games",2006,26
"6","Real-time rule-based classification of player types in computer games",2013,21
"7","Behavlets: a method for practical player modelling using psychology-based player traits and domain specific features",2016,20
"8","Cardiovascular physiology predicts learning effects in a serious game activity",2013,17
"9","Learning loops–interactions between guided reflection and experience‐based learning in a serious game activity",2013,16
"10","The QUARTIC process model to support serious games development for contextualized competence-based learning and assessment",2012,12
"11","Learning When Serious: Psychophysiological Evaluation of a Technology-Enhanced Learning Game.",2014,11
"12","Experience assessment and design in the analysis of gameplay",2014,9
"13","Analyzing player behavior in Pacman using feature-driven decision theoretic predictive modeling",2009,9
"14","Using decision theory for player analysis in pacman",2006,9
"15","Learning in balance: Using oscillatory EEG biomarkers of attention, motivation and vigilance to interpret game-based learning",2014,8
"16","Feasibility of an electrodermal activity ring prototype as a research tool",2015,7
"17","Player profiling and modelling in computer and video games",2009,7
"18","Computer enabled neuroplasticity treatment: a clinical trial of a novel design for neurofeedback therapy in adult ADHD",2016,6
"19","Cognitive collaboration found in cardiac physiology: Study in classroom environment",2016,5
"20","Short Literature Review for a General Player Model Based on Behavlets",2016,5
"21","The QUARTIC Process Model for Developing Serious Games: ‘Green My Place’ Case Study",2014,5
"22","Data-Driven Decision Theory for Player Analysis in Pacman",2007,4
"23","Computational testing for automated preprocessing: a Matlab toolbox to enable large scale electroencephalography data processing",2017,3
"24","Epileptic electroencephalography profile associates with attention problems in children with fragile X syndrome: review and case series",2016,3
"25","How to advance general game playing artificial intelligence by player modelling",2016,3
"26","Assessment of the Emotional State by Psycho-physiological and Implicit Measurements",2011,3
"27","Biosignals reflect pair-dynamics in collaborative work: EDA and ECG study of pair-programming in a classroom environment",2018,2
"28","Green My Place: Evaluation of a Serious Social Online Game Designed to Promote Energy Efficient Behaviour Change",2017,2
"29","A short review and primer on electroencephalography in human computer interaction applications",2016,1
"30","A short review and primer on electrodermal activity in human computer interaction applications",2016,1
"31","Adaptive Artificial Intelligence in Games: Issues, Requirements, and a Solution through Behavlets-based General Player Modelling",2016,1
"32","Utility of a Behavlets approach to a Decision theoretic predictive player model",2016,1
"33","Forest, Trees, Dynamics: Results from a Novel Wisconsin Card Sorting Test Variant Protocol for Studying Global-Local Attention and Complex Cognitive Processes",2016,1
"34","Psychophysiology and high-performance cognition-a brief review of the literature",2015,1
"35","Experimental Investigation of Saliency Processing in ADHD",2013,1
"36","Behavlets: A Pattern Language for Energy Efficiency in Public Buildings",2010,1
"37","Computational Testing for Automated Preprocessing 2: Practical Demonstration of a System for Scientific Data-Processing Workflow Management for High-Volume EEG",2018,0
"38","The PSICAT protocol-Primed Subjective-Illusory-Contour Attention Task for studying integrated functional cognitive basis of sustained attention",2017,0
"39","A short review and primer on respiration in human computer interaction applications",2016,0
"40","A short review and primer on event-related potentials in human computer interaction applications",2016,0
"41","A short review and primer on electromyography in human computer interaction applications",2016,0
"42","Adaptive Artificial Intelligence in Games",2016,0
"43","Computational Testing for Automated Preprocessing: a Matlab toolbox for better electroencephalography data processing",2016,0
"44","Computer Enabled Neuroplasticity Treatment",2016,0
"45","Attention and the Gestalt.",2014,0
"46","THE EFFECT OF REFLECTION ON LEARNING IN A SERIOUS GAME ACTIVITY",NA,0
"47","Visual Saliency and Attention",NA,0
